section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,214.0459,221.10813214285713,224.2161,1.9608,0.4902,69.495775,6.0,24.538082275447152,45.0,42.803591315327424,223.59852088530815,148.6171999999999,0
T3,200.1984,205.29528666666667,214.8547,0.0,0.0,95.60257866666667,5.0,22.664396421226648,46.0,35.86775496628053,288.5441397189168,370.37249999999995,0
T14,206.4393,214.5504375,226.5431,15.6863,1.34803875,84.0735,6.0,14.975172257719713,47.0,41.39646105066124,230.74767606439914,417.0613000000003,0
T9,149.897,178.72691104294478,211.3451,100.0,7.1622760736196325,78.35435705521473,4.0,19.405359242427032,74.0,22.873862109402165,205.92772152237848,704.2091999999998,0
T4+T5,108.5298,144.1937447368421,235.8358,100.0,24.74372368421053,55.84106666666666,3.0,35.731852209784584,58.0,38.94299404459527,224.95455295222104,395.97260000000006,1
T10+T11,113.5576,136.88324726027398,210.4753,100.0,13.276923287671233,64.48830547945207,3.0,36.90706650089965,58.0,30.84210468311278,240.98892639304856,483.09959999999955,1
T12,107.7287,127.63680136986301,168.246,100.0,17.27101917808219,66.08109726027398,3.0,17.83879676136877,58.0,32.186274809508994,172.77834448860884,223.34740000000056,2
T13,151.0338,168.29354999999998,185.4963,1.9608,0.10893333333333334,97.0152125,4.0,17.180872239380268,56.0,24.531644372835288,128.78174741057123,293.65349999999944,3
T8,117.6242,137.59100263157893,170.2068,33.7255,3.740969736842105,77.36323552631579,3.0,24.56081600835427,65.0,31.441134562274982,141.08727295430077,251.14300000000003,3
T6,118.0667,139.74532258064514,167.9026,2.3529,0.6072096774193548,94.09231451612904,3.0,19.713160004052448,52.0,25.639541108654743,103.19976478494664,209.8336000000004,3
T15,60.6622,113.02763095238095,222.7893,100.0,23.613442857142857,51.774030158730156,1.0,54.405530805237234,127.0,41.7813903842096,332.36781224735495,394.08620000000064,4
T1,56.4508,114.40701865671642,193.492,100.0,20.664326119402983,65.19459104477612,1.0,41.39023749486441,127.0,34.023433032901906,223.6118043176816,374.3125,4
T7,83.1006,118.61520265486726,185.5879,100.0,24.695469911504425,58.035730088495576,2.0,39.01325428243807,127.0,44.58241962782239,439.88440157566527,325.03200000000015,4
