section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,216.65525,227.53493825187968,234.6532,0.0,0.0,36.011728383458646,5.0,23.01580516275867,50.5,124.3428629321068,350.63648580668706,149.52960000000002,0
T14,214.05734999999999,228.25942060096764,246.30734999999999,50.0,1.9607843137254901,72.48134642220523,5.0,39.23077318390052,109.0,118.91127999937001,600.1537156580115,420.08325000000013,0
T10+T11,110.7347,140.2994628871091,222.8275,85.88235,15.764959347826089,60.45066687261632,3.0,41.13359801421707,80.0,121.6135902588546,512.0340945761556,478.37840000000006,1
T4+T5,96.75365,137.38603599173553,251.84635,84.7059,20.550578842975206,45.350523646694214,2.5,34.707353208986326,79.0,101.72366993988767,562.3450669347922,397.22699999999986,1
T8,108.31235000000001,132.76923555194804,173.14794999999998,50.0,5.4147817307692305,64.03428396603397,2.5,27.939604164037025,85.0,95.12120127964425,396.4943353327063,249.59085000000005,2
T7,85.48865,118.77833709090909,187.91485,84.5098,17.22031966666667,47.95423784848485,2.0,38.03669161097234,106.0,77.80303883419246,467.84155381904907,321.1962000000001,2
T6,113.80175,135.924137987013,170.37465,50.0,2.9271702380952385,74.4011367965368,2.5,28.048753314221877,68.5,93.9428182070259,403.5378223178695,209.5082,2
T12,103.03275,126.04141267605634,169.78715,88.43135000000001,17.158352943661974,60.00650052112676,2.5,25.43965886854872,73.5,89.80922853303633,463.5673870048797,221.26410000000078,2
T9,139.90235,182.3334301209125,220.32119999999998,76.66665,8.074263255703139,73.88366058728928,4.0,21.517674667860433,65.0,73.24398756957618,372.5536807404585,705.1928999999998,3
T3,192.9732,202.24707833333332,216.43775,0.0,0.0,83.16745833333334,5.0,23.892553633737695,54.50195,77.92183843982669,373.150397299652,370.5050500000001,3
T13,154.50905,167.38327457600985,185.6298,0.0,0.0,80.82824301572619,3.5,24.085218814453178,75.0,109.69111681118031,461.04671244477765,286.9331000000002,3
T1,54.38695,114.43966754126632,207.9461,87.84315000000001,17.605032039911308,61.71928098053708,1.5,51.97757904823047,127.0,83.24099347966731,1005.072884397786,372.4536,4
T15,48.161249999999995,102.36358096800656,234.14585,89.8039,21.334211546349465,50.17174796964726,1.5,67.99953521534442,127.0,97.74603218654774,668.8439703519455,394.40875000000005,4
