section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,191.6419,211.6324314732143,234.40525,15.2941,10.618875000000001,25.159310044642858,4.5,17.893491239249087,32.95505,32.53359686432098,122.86983123263863,151.37209999999993,0
T3,189.3683,204.59528672794116,223.6057,0.0,0.0,98.967540625,4.5,14.270129406324225,32.1875,20.240085192501176,113.69478675581155,372.60384999999997,0
T14,216.2585,225.41452458333333,244.06425,21.9608,2.8872575,82.18871104166666,4.5,17.204248168804128,44.75,17.863911638893335,96.36870554608815,417.9299999999994,0
T9,152.1401,186.92532850323516,223.10215,83.52940000000001,6.740276277091534,73.65944404325595,3.0,18.656971378799444,55.9219,14.775700545015727,82.10436817068538,701.8216499999996,0
T4+T5,99.88935000000001,139.56963641456582,255.01645000000002,100.0,22.874718977591037,49.99478256302521,2.0,35.52014563540376,61.53125,31.331571882019297,182.68630490848346,392.8958499999999,1
T10+T11,98.1041,138.22900088841692,226.47820000000002,100.0,18.218341468089513,62.49774832159138,2.0,36.87038177106842,63.0625,28.527965372398885,237.7093650625789,482.3748499999997,1
T1,55.18425,120.95934825977301,210.0328,100.0,23.11336971626734,65.48561210592686,1.0,59.60584306699518,161.375,33.569844127578804,404.17137785618394,375.48855000000003,2
T15,61.512950000000004,111.47624003871351,240.96665000000002,100.0,23.730775029779632,58.660082645920184,1.5,61.106821351495825,132.4375,42.53244945413477,292.77632741010046,395.6601999999998,2
T12,107.20224999999999,127.30205456621005,172.3659,99.2157,18.207137739726026,58.892151815068495,2.0,24.319310021481133,62.71875,27.704052750193593,169.12171202559375,224.21309999999994,3
T13,152.80765000000002,167.859362581894,191.1841,2.549,0.08595205479452055,79.4971779184038,3.0,14.984050549013922,49.65625,15.65643490197607,81.81950298406471,286.69190000000026,3
T7,92.6757,118.03877705731536,192.18735,100.0,16.87936855098834,44.8772623108097,2.0,29.847393648487145,79.4375,20.781802443554373,130.52248828463243,323.07809999999995,3
T6,120.82095,140.81763310335117,175.2575,14.5098,0.3102134328358209,73.88191240495635,2.0,26.40888872599514,57.84375,22.300943925420988,109.29231714567183,211.73985000000016,3
T8,117.6318,139.27173552606814,177.7905,27.0588,2.6585175324675325,67.07575433841521,2.0,25.634577960832054,58.957,25.014114740235634,133.24369710825326,248.99555000000032,3
