section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,236.86961666666664,241.5763763179923,244.93655,0.0,0.0,87.03384057901307,5.166666666666667,21.21408387596541,36.75065,37.829163346783375,166.73706050476258,146.65685,0
T3,228.78423333333333,233.59955739163402,241.6476,0.0,0.0,96.4062451879987,5.583333333333333,21.158781585998852,44.083333333333336,30.2810364163175,195.21357282640986,368.45695,0
T14,234.80839166666667,243.32996240771868,254.50268333333335,8.333333333333334,0.5892255892255892,93.11709878782852,5.666666666666667,23.278772319848425,58.250325000000004,28.08779806911882,240.81032632715878,415.8699666666667,0
T13,163.757925,183.08755057359113,204.26554166666668,0.0,0.0,95.58651077436407,3.0,14.539364247483988,51.75,23.552190731516678,99.61475153620479,286.82326666666677,1
T12,112.31594166666667,134.58860939376743,179.98779166666668,94.44444166666666,16.749067212495454,58.606540426147404,2.3333333333333335,21.1390392504243,62.75,36.46925690782767,157.28984128378218,220.06383333333338,1
T6,131.83733333333333,151.33837105414747,182.72299166666667,0.7516333333333334,0.05528293055555556,82.58251131177245,2.75,24.107637415632407,57.33398333333333,41.69225887884249,251.15425548951612,208.05670833333338,1
T8,123.22677499999999,145.73267081885578,183.55840833333332,59.379083333333334,4.356191936942703,69.53806274632929,2.5,25.09283750071314,68.83333333333333,36.91181985225444,184.03217029306828,248.33865000000006,1
T10+T11,116.43015833333334,146.51501724288326,235.08495000000002,97.84313333333334,14.240083338148509,58.386595601897255,2.6666666666666665,36.23865974605719,76.66666666666667,37.66259333811922,323.67769297274725,478.85566666666654,2
T15,56.425324999999994,111.92764024116428,253.07023333333333,98.56208333333332,22.839068947986814,52.15038014131026,1.0,59.38384334787592,125.16666666666667,53.268682450401364,549.2217316479786,391.85994999999997,2
T1,59.033975,123.27500214716365,214.03194166666665,98.13725,21.423976238308274,64.52110043068281,1.0833333333333333,43.6023599231352,126.83333333333333,30.79475132469268,288.4071773459347,372.17995833333333,2
T4+T5,106.97973333333334,150.26869213505134,264.98245833333334,98.52940833333334,23.20125612668855,50.80879555542029,2.25,34.748329831336726,77.16666666666667,48.907913179840115,421.2590970285558,394.60545,2
T7,88.52267499999999,123.86857258734511,202.47004166666667,97.32025833333334,18.42855365686017,48.96270913731235,1.75,30.083410248590724,92.41666666666667,30.689427045805218,168.6809854922166,321.8166166666667,2
T9,159.494925,196.97272628145643,232.585,95.16339166666667,7.883818915668548,80.67405039983002,3.8333333333333335,20.926368439033855,67.83333333333333,22.48005182492166,172.69773568147443,701.4969833333333,3
