section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,229.1524,241.62176363636362,247.2343,0.0,0.0,51.15861818181818,5.0,33.362744600418104,49.0,64.62233778646383,256.2096946559255,135.39289999999994,0
T3,223.9796,231.15787241379311,243.1449,0.0,0.0,99.60779999999998,5.0,20.37644705652556,37.0,22.191377264600128,108.7185321464744,362.9001999999998,0
T14,252.3995,255.61787,260.647,0.0,0.0,99.6078,6.0,20.61665428397801,56.0,19.363483927971014,49.53131746451705,414.6348000000007,0
T12,102.7695,131.485803125,183.2609,100.0,23.5294125,55.061253125,2.0,20.93706065751835,64.0078,25.813655712259777,76.9326316385158,223.29350000000068,1
T8,117.6013,138.39147575757576,178.6374,81.1765,9.01960606060606,67.47472424242424,2.0,25.16801423196058,62.0,24.093402053963345,96.6441394729367,245.51319999999987,1
T1,57.7096,119.1855350877193,216.434,100.0,23.77708947368421,63.384910526315785,1.0,44.16124112832814,127.0,25.898751867507716,133.6474158770485,365.09889999999996,2
T15,58.4802,114.52925238095237,263.6378,100.0,27.687522222222224,48.96979523809524,1.0,67.88412423808623,127.0,49.2464582015103,290.573151078265,388.5015000000003,3
T10+T11,104.9897,144.48818833333334,236.4309,100.0,20.17647,61.79083166666667,2.0,34.985304803701816,56.0,45.02192543825804,310.52521720274814,473.04200000000037,3
T7,81.3687,122.22819591836735,204.0131,100.0,23.537414285714284,53.51739183673469,2.0,42.18022539043976,127.0,61.92218207960461,625.9294036970082,322.8474000000001,3
T4+T5,88.9067,140.86321176470588,268.8487,100.0,26.874280392156862,42.898878431372545,2.0,44.16400389637538,95.0,62.11360966709782,465.92252311965996,385.6723999999999,3
T9,143.1678,192.0597606060606,231.0445,94.1176,10.83184393939394,80.16039393939394,3.0,17.026738228922042,44.0,14.236079175308616,65.9144815933966,697.9687999999996,4
T13,159.9527,181.6852275862069,204.4633,0.0,0.0,94.4692,3.0,12.94950405121423,49.0,16.969568973323813,45.83409225895512,285.4438,5
T6,119.8138,148.85821153846155,183.8331,0.0,0.0,88.70282692307691,2.0,24.00498102311269,57.0,24.719597021265926,79.98559724912405,208.13590000000022,5
