section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,220.6073,224.3839160714286,226.76815,0.0,0.0,92.21985357142857,6.0,29.469451014150764,58.5,52.5444125388355,231.1686908690324,147.69289999999995,0
T3,212.21485,215.72876875,222.14465,0.0,0.0,99.60235347222222,6.0,23.155595123496628,55.5,33.78157578213144,207.87702755513692,373.06915000000015,0
T14,222.79315,226.59558246753244,230.79655000000002,0.0,0.0,95.41122077922077,6.0,24.644389855916536,62.0,33.72343989734507,205.8064110336628,420.69609999999966,0
T13,155.28725,173.289085,189.9481,0.0,0.0,99.6078,4.0,12.15382173749354,46.0,40.752118167418644,268.5208384853171,291.44050000000016,1
T12,110.8835,131.7931825410798,171.62965,100.0,21.317968847809077,65.0219959115806,2.5,25.398197466739823,86.5,54.28807055288583,226.11865028625553,225.62490000000025,1
T6,133.2265,148.57356679378532,173.47985,0.0,0.0,87.49133378531073,3.0,30.25277546493341,76.0,55.56127553427311,457.0879165245633,211.1597499999998,1
T8,125.39865,143.40711095890413,173.579,61.56865,6.0300821917808225,74.57155821917807,3.0,28.995312746748635,80.0,48.04056809067891,248.0308701065881,251.09339999999997,1
T10+T11,112.7184,143.4400597513294,215.96859999999998,100.0,19.30008909133563,64.99051703159212,2.5,34.8427466252156,81.5,60.036271886163874,455.96531078692806,483.8611000000001,2
T4+T5,108.23984999999999,144.16955508849557,237.94920000000002,100.0,25.296796072038504,56.99732012498059,2.5,38.61561168597704,80.0,68.14023206154248,398.54425218231415,392.75909999999976,2
T9,149.69865,183.85190543003645,214.24810000000002,100.0,11.160030685414412,83.15144247686575,4.0,22.417994182836544,77.0,24.273564949802932,150.30869191913348,704.36025,3
T15,62.31399999999999,113.42799688023246,233.27994999999999,100.0,28.04661185117699,58.87603392839554,1.0,59.6461792326109,127.0,56.19218626583141,675.5111362255877,393.66529999999966,4
T1,58.6328,118.10439415158983,196.94819999999999,100.0,24.03513548115646,70.5252512682575,1.0,43.42917520236516,127.0,36.45796823010288,433.4718696224156,372.64825,4
T7,87.2473,120.71384318181819,188.90285,100.0,24.090908636363636,57.72190954545455,1.5,35.239821290510655,115.5,43.80061335232447,229.18116936957665,324.78724999999986,4
