section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,232.1393,238.12626741772732,242.89884999999998,0.0,0.0,68.29228553491572,5.0,26.99820335142957,51.0,119.46847966607734,381.96205507712364,148.52860000000007,0
T3,220.344075,226.90933422582228,237.174775,0.0,0.0,96.98339612676057,5.0,29.193943960436677,66.0,94.41710428084559,496.8645310681953,369.310825,0
T14,235.48485,241.39612207179783,250.7534,0.0,0.0,88.04751474648594,5.5,22.9531574144077,57.75,55.94364135666536,343.135232027356,414.99340000000007,0
T10+T11,117.399075,146.19524673067846,232.684825,98.823525,15.721437433095183,59.6401548036101,2.25,37.309478991563935,66.75,57.39787699090438,490.08740339151575,478.77014999999983,1
T12,107.747775,130.3419969240869,177.70275,94.80392499999999,20.295088622329075,62.18936820697139,1.75,22.616956503230856,63.75,55.50564966423823,362.52814910641405,221.3333,1
T13,161.01319999999998,177.96076360446938,198.89755,0.0,0.0,92.9677594656377,3.0,19.419193069458338,65.5,64.83234742198097,399.83912929487053,289.1667500000003,1
T7,87.26635,122.76438548179159,200.31662500000002,99.313725,23.046760109981392,52.799941483585854,1.5,30.317564600542784,81.5,48.19774366258646,344.55367672788105,321.36232499999994,1
T6,133.409625,151.81779491990142,181.412625,0.0,0.0,89.12755019074658,2.25,25.488690697093542,67.5,60.19140931891684,347.83704022550796,210.46339999999987,1
T8,123.012525,142.19110073884593,177.077125,61.176474999999996,5.563800313605476,66.28334974806978,2.25,30.389427934720423,72.5,75.2114059211242,436.31240172289154,247.77792499999998,1
T1,59.4682,122.94288051994397,213.3917,100.0,25.937920996429973,64.28935717454554,1.0,49.89126999827317,126.25,63.68600381914612,607.9606171206385,370.7531,2
T15,59.68185,112.17498358778988,249.649025,96.568625,25.73855172084921,53.350580921359104,1.0,69.72425607919463,125.5,82.27205575804358,724.6695830867342,390.9532999999999,2
T4+T5,105.73927499999999,149.68408857058597,263.5195,100.0,28.094375178206974,51.72094800566262,2.0,41.27893746740682,84.00195,84.68946731191141,574.5181721279935,393.3549499999999,2
T9,164.412175,195.8074885077107,228.16815,94.0196,6.810403498232016,80.1889755245124,3.5,24.588678676394984,59.5,36.2118908237324,291.1369290840832,704.7266750000001,3
