section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,167.5097,184.19240390224672,207.82025,0.0,0.0,91.19787698068585,3.5,14.525997551197058,53.45315,26.350619377873684,109.80086113079699,290.38889999999947,0
T3,232.01345,239.30658661740557,249.4888,0.0,0.0,99.07031724137931,5.5,24.63126151296293,57.90625,29.63114883748119,223.88381270938396,368.88255000000004,0
T2,240.52030000000002,249.20320762032088,252.71224999999998,5.09805,1.0784340909090908,84.14124358288771,5.5,25.506068859766025,45.2969,40.84767306679664,116.41806430931706,147.36214999999999,0
T14,233.37150000000003,245.64182704301078,260.62025000000006,37.0588,4.168246774193547,88.84805713261649,5.5,18.12851469575208,51.32815,27.890246310126727,171.65751775990532,414.5762500000001,0
T9,157.58755000000002,199.96719997004706,238.2086,100.0,9.31512784338896,81.05577088147197,4.0,21.13056776938836,57.125,19.911711763016925,148.03755428729306,700.6482000000001,0
T12,109.35759999999999,135.11340336805554,181.42215,100.0,20.46017392361111,56.960648454861115,2.5,22.653041420318278,68.75,49.93855317145058,365.5795949113242,221.10849999999982,1
T6,131.11695,153.11798779239766,188.05599999999998,40.392199999999995,3.108589400584795,86.70192675438597,3.0,22.275204231294353,64.1406,57.4977989998775,372.62407137925527,211.35350000000017,1
T8,122.47655,146.4804202777778,185.3513,70.7843,7.819172222222223,64.62853861111111,3.0,23.123563593428877,57.60935,41.151659699443066,293.1260848234069,247.41174999999998,1
T7,89.07835,121.90363336734694,204.55485,100.0,21.51100367346939,45.809525,2.0,28.097387626304545,77.53125,43.547753161476344,299.76636025097366,323.02200000000016,1
T1,63.45845,126.02879796296295,220.29829999999998,100.0,24.224763194444442,61.72240333333333,1.0,40.314512987996004,131.09375,33.22385467038807,267.91134903054103,370.96434999999997,2
T15,58.712900000000005,113.62972904761904,255.3559,100.0,25.858697936507937,54.6380326984127,1.5,44.10105066104232,106.71875,58.60038529484605,522.6701929791893,391.3895499999999,2
T10+T11,118.9555,145.82477143121986,239.16230000000002,100.0,16.043626061364478,58.05662881905821,3.0,30.819750614179426,62.875,43.621053578069905,264.8351564713114,480.55665,3
T4+T5,108.96465,149.61988051020407,273.36154999999997,100.0,24.906761326530614,51.07882989795918,3.0,29.21366765503516,62.5781,55.83276065122479,278.8028664902585,389.07854999999995,3
