section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,219.8749,225.73352500000001,228.4657,0.0,0.0,86.52659285714286,5.0,35.75245273556075,71.0,43.90950197865648,276.60547595461026,148.01890000000003,0
T3,208.6061,214.0661309859155,222.1256,0.0,0.0,95.6696676056338,5.0,18.091089759553615,68.0,43.65542956592331,266.45348879942435,370.2771,0
T14,227.5273,231.35443999999998,234.9203,0.0,0.0,96.65879733333333,5.0,15.892207443428209,39.0,56.82366635648706,332.8623607870876,416.2435999999998,0
T1,62.5238,116.00752045454546,196.7803,94.1176,20.09506893939394,60.02671818181818,2.0,49.29027464439351,127.0,56.205846703994666,850.5977131028592,372.65560000000005,1
T10+T11,116.64,140.94506267605632,216.8765,87.451,12.6070161971831,57.19689366197183,3.0,43.25970535572957,99.0,68.72101327791678,640.1885073580336,484.0707000000002,1
T15,65.1179,109.11477142857143,236.9345,95.6863,22.02481224489796,42.969178911564626,2.0,72.41877042955643,127.0,66.26620786725064,636.9724506692796,394.16489999999976,1
T4+T5,108.5527,141.96086120689657,239.7574,97.6471,21.490873275862068,47.393504310344824,3.0,48.255648765381814,103.0,69.26326335274692,678.0674831056353,395.44609999999966,1
T12,110.1472,128.34718630136987,167.0329,78.0392,15.111468493150683,57.73299452054795,3.0,37.6425841859379,100.0,72.28181114653295,788.6051161115967,224.8798000000006,2
T7,86.183,118.82473214285714,189.044,94.1176,18.25980357142857,48.50139196428571,2.0,40.44493170717546,115.0,58.58586579202821,753.1526034402935,322.4466000000002,2
T13,154.1238,172.2275957142857,190.7301,0.0,0.0,97.54619,4.0,19.800101117154497,59.0,72.84430301130928,486.1104804707287,288.09149999999954,3
T6,133.5851,149.30280169491525,174.4869,0.0,0.0,88.02257118644067,4.0,30.26641468633714,81.0,40.81147783443945,208.00802090582357,211.3364999999999,3
T8,127.0008,141.0582162162162,170.7179,55.6863,4.636991891891892,67.68943783783784,3.0,37.240580432467894,109.0,55.201890358810246,276.7142768040933,249.88749999999982,3
T9,154.8562,185.0336846153846,214.0688,76.4706,5.910005128205128,76.16890064102564,4.0,19.566642860291807,64.0078,28.858710411188586,241.93434459414604,700.7712000000001,4
