section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,161.75583333333336,179.14099687363833,200.92316666666667,0.0,0.0,94.12402135076252,3.0,16.48138004014145,55.669266666666665,24.897409259695525,144.8428602421478,289.6679000000001,0
T3,218.44306666666668,225.5015816100055,236.88106666666667,0.0,0.0,91.11027521558873,5.333333333333333,26.23417165172255,51.333333333333336,41.85537849335603,257.44965734232926,367.4399333333334,0
T2,234.6608666666667,243.01864785185185,246.84263333333334,0.0,0.0,64.53272792592593,5.0,23.47895441814335,39.0,39.03336869059414,120.02903214999763,149.24816666666672,0
T14,245.6957,249.8940508874982,254.78243333333333,0.0,0.0,91.45121376811595,6.0,25.930195712913758,66.66666666666667,30.233829370656263,124.28039496317253,413.8823333333333,0
T12,109.29273333333333,131.53706030637727,178.28386666666665,99.21570000000001,19.850482476418797,57.36371940793699,2.0,24.60277360331499,78.66666666666667,39.919031392530684,222.59288880825872,222.28346666666675,1
T6,127.97486666666667,147.0385099137931,180.90333333333334,0.0,0.0,78.3309475,2.0,23.856159406287144,60.0026,39.66518530353298,250.3592965736526,210.15136666666663,1
T8,117.2249,140.49877472072072,175.58810000000003,64.183,6.570782498498498,60.859974906906906,2.0,30.796947372449285,84.33333333333333,42.07832807628774,273.6874348640341,248.97669999999985,1
T10+T11,113.8603,145.42016173273657,234.56676666666667,99.60783333333332,15.960528715544191,57.17446166524581,2.0,33.313865603045436,66.33333333333333,35.60549006939991,222.02165751436632,482.95660000000015,2
T4+T5,100.70446666666668,146.09673507153863,267.0939333333333,100.0,25.811543783843277,42.869047352703795,2.0,33.83472162723597,63.666666666666664,36.279573929994,214.94212835775872,394.7525333333333,2
T7,89.4026,121.26077982842439,198.69026666666664,96.99346666666668,20.439399052693634,46.53968345405031,1.3333333333333333,34.37108281610093,92.33333333333333,32.13535104363072,196.6455699576411,321.5681333333334,2
T9,157.12213333333332,195.9889636640528,231.2123333333333,91.11110000000001,8.664991897040581,80.13806179891014,3.6666666666666665,18.147948258248572,53.333333333333336,21.17052312817599,111.99736251797192,702.352,3
T1,61.78886666666667,123.91027586211293,214.36383333333333,100.0,24.292429861409275,62.366876436151216,1.3333333333333333,45.9439529426376,127.0,27.93468482869333,332.24972415495404,372.5063,4
T15,62.99433333333334,115.14709383537759,258.10633333333334,100.0,23.36501188011063,47.358838709114956,1.3333333333333333,62.825191435377015,126.0,46.4419468329933,444.6107445954256,394.14863333333324,4
