section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,201.90359999999998,223.79099423076923,240.37155,50.0,17.77777777777778,57.814085185185185,5.0,15.378159880926033,27.41405,35.08732053629259,127.66154064135887,147.76185000000004,0
T3,188.72359999999998,202.51831619981326,223.93375,0.0,0.0,91.4186705882353,4.5,16.848729630247668,40.41405,48.66236622559484,309.96396335823135,372.8715000000001,0
T14,211.27645,221.6992048981838,236.2783,50.0,2.906427848101266,84.28392784810126,5.0,16.777128457678632,40.2031,43.494912807087765,221.28581572422678,418.54699999999957,0
T12,95.76945,122.58063729071536,172.47655,97.64705000000001,17.712863460806698,55.00458255327245,2.5,21.04499294666381,55.875,35.33563116471029,214.61201291058728,223.95329999999967,1
T7,87.24725000000001,117.62757890273451,193.2364,90.58825,18.259711037556247,39.20714824766355,2.0,33.62021368790583,85.375,26.219398708240746,131.1596872141523,325.11075000000005,1
T10+T11,105.59625,135.12726195652175,224.0711,100.0,16.12958152173913,50.2088634057971,2.5,30.97688034553746,54.1406,37.501531820358124,250.15890365526712,480.4739999999997,2
T4+T5,85.89685,133.39996657669815,255.6611,100.0,24.995280409356724,42.10522050157445,2.5,35.35338262875192,67.0625,49.602130617700894,277.34453123082676,395.86705000000006,2
T9,123.51035,174.39827402940222,220.6569,100.0,10.85467402534113,71.82910144168292,2.5,18.129447725519668,56.0,27.337123178406852,233.4431966074926,703.6844000000001,2
T8,114.18709999999999,132.98950080555556,170.28305,36.666650000000004,4.908279944444444,58.926463999999996,2.5,25.00052411564927,62.7656,61.06609614533026,565.7610945635558,248.78499999999985,3
T6,113.6568,141.6064827586207,178.48855,0.0,0.0,85.82486896551724,2.5,20.724426747980758,54.1406,48.77856308196766,292.0645649278765,209.8927000000001,3
T13,149.0539,165.51238164961637,189.08215,0.1961,0.0028838235294117646,77.82908621057118,3.0,13.157373689489791,45.34375,24.25869973093739,208.49773029922704,290.36519999999973,3
T1,59.5903,119.08214960999472,210.12815,100.0,21.088644427551564,60.39385681517716,1.0,40.44052008279402,122.40625,28.72294667167114,234.00816263332052,377.0309,4
T15,52.6017,106.95432868697173,240.39065,100.0,23.649253393082677,50.8262099557952,1.5,64.99028089571343,121.46875,40.60711495505133,401.28894780446205,394.2646999999997,4
