section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,210.605025,221.8077480335454,227.466225,0.0,0.0,47.242324855407745,5.0,35.826085355267914,66.0039,55.477162097125074,226.64426488693363,147.86679999999998,0
T3,200.110625,205.65667415965004,215.487925,0.0,0.0,96.50076386538461,5.0,31.34782984986563,73.5,34.923905097865735,249.4957370829294,370.21272500000003,0
T14,211.068525,219.8509228781757,231.76355,0.0,0.0,70.43979782652754,4.75,24.527836551796135,67.25,51.49401968382124,315.2228524541038,418.1037000000001,0
T10+T11,115.217075,140.68011838663102,215.6443,98.333325,14.570336564857598,59.85703461439189,3.0,46.026126517314395,78.0,36.38300349714174,284.18663783892566,482.2949249999999,1
T4+T5,106.7712,143.11860879392523,240.423075,100.0,22.524702110552706,49.33703614754636,3.0,41.423561719330635,74.50195,43.67687273263103,274.359455064604,393.68302499999993,1
T12,109.555975,128.1973604955681,168.93644999999998,95.4902,19.524036839530332,57.818566320683516,3.0,26.195946328982366,82.75,40.7150994498317,168.77708260585808,224.26522499999987,2
T6,124.218,145.04894663833295,172.137,0.0,0.0,91.60104799714652,3.0,26.5834958988259,67.0,39.8614054324776,192.44166344984544,210.15112499999998,3
T13,153.467625,167.536804358353,185.788125,0.0,0.0,93.87009426811593,3.5,19.728919002171956,68.00195,30.551304148861913,214.1707057864818,289.38125000000014,3
T8,121.5667,140.18195708654355,172.44412499999999,48.725500000000004,3.980208024948025,71.04118610747625,3.0,27.038794596336317,73.25,37.28917170921581,185.45354498084794,250.24594999999988,3
T9,148.65529999999998,179.08226406090455,213.3078,93.2353,7.77463540499525,76.76656236820494,3.75,27.078829484875072,76.75,20.49409369040292,145.2728444567078,703.3335000000002,4
T15,58.607974999999996,109.73984434418661,227.313675,100.0,22.881348500568226,54.72888225102929,2.0,62.5952631978796,124.75,54.072350133000185,431.86859595668056,393.2556749999999,5
T1,62.05655,115.63264889544298,196.29585,98.333325,17.736188091651243,66.40642652364532,2.0,44.53485150630339,127.0,28.884180466732293,272.68828530059693,371.090825,5
T7,86.045625,116.56685829491126,188.414575,100.0,19.801714041987605,53.33331101702886,2.0,35.6403209096426,102.0,49.00547966879766,373.0845535928213,324.537275,5
