section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,156.50852857142857,175.60171186375268,197.6838857142857,0.0,0.0,93.43987601830906,2.857142857142857,17.64749260672302,56.285714285714285,22.309736504636373,134.2997264920254,288.48408571428575,0
T3,216.97782857142857,222.8099333293404,232.66958571428572,0.0,0.0,96.45787993360945,5.428571428571429,26.02113062814217,63.54631428571429,30.182105501898018,254.85748401555568,368.5573,0
T2,227.99485714285714,237.27509743083388,242.65332857142857,0.0,0.0,61.18667335902224,5.285714285714286,20.968013838759052,44.794642857142854,38.40629669051397,147.63789045443312,147.43634285714285,0
T14,231.90552857142856,238.77611977936436,247.8414142857143,0.0,0.0,86.77749429935336,5.714285714285714,24.478491682133605,58.246100000000006,26.115722177486777,149.72130690539456,417.60118571428563,0
T12,107.63825714285714,129.50022528752166,175.07765714285713,94.17367142857142,17.074285251327307,53.70376892048842,2.142857142857143,30.121351679759414,82.98214285714286,49.45913269336849,304.1301371524422,222.95081428571433,1
T6,124.40572857142857,145.79169149484594,179.79595714285713,0.0,0.0,83.55466796192117,2.5714285714285716,27.3970929212719,67.07142857142857,43.9718455142521,267.2725683274886,209.47377142857133,1
T8,119.29505714285713,141.53308733383693,178.55235714285715,55.74228571428571,5.267295177818611,63.47319359015728,2.2857142857142856,35.10783396793107,96.125,43.02680781284704,341.2085900803022,248.7569857142856,1
T10+T11,116.00888571428573,142.95639469307977,228.98994285714284,99.71988571428571,14.752726446082095,55.27215998164812,2.2857142857142856,43.67245592650401,99.875,44.54692343185356,292.6471227548128,482.12034285714293,2
T15,59.706357142857144,112.03871121492637,246.11821428571426,100.0,23.177318444214734,49.79278509311623,1.0,72.08626177979507,137.08928571428572,48.62353792636277,457.52257764927344,395.0712000000002,2
T1,58.4693,120.04165255709786,210.23771428571428,99.66387142857143,21.27289497729296,61.19102640928664,1.0,48.04545119010792,139.08928571428572,31.98390360783814,377.0320831784921,372.50665714285714,2
T4+T5,106.42295714285714,148.86402062916912,257.5842714285714,99.88795714285713,25.398173851139678,47.100770706843754,2.0,36.41606281696586,80.625,44.54970581445681,325.3713299789555,394.17535714285714,2
T7,87.00258571428571,121.45275216919951,197.48444285714285,99.94397142857143,20.274690225456336,45.63564400622816,1.8571428571428572,43.7407635915009,116.66071428571429,32.336065594741555,212.75906927897012,323.7662714285713,2
T9,154.43438571428572,190.75823231806774,227.49674285714286,92.32492857142857,7.713722959903159,77.08557451243519,3.7142857142857144,23.277529076466912,71.42857142857143,27.166793076041127,186.88074478833678,702.697957142857,3
