section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,167.38765,180.59058756157634,200.43110000000001,0.0,0.0,86.51740812807881,4.0,17.044403965086428,58.0,27.407060382986252,135.32258881213906,282.4362000000001,0
T3,221.98825,228.59935862068966,239.01350000000002,0.0,0.0,96.00402586206896,5.5,24.113416100702555,49.5,28.910868098866345,176.19472871667926,358.1652,0
T2,234.21069999999997,243.39583901515152,247.14655,0.0,0.0,63.692793939393944,6.0,25.30049847058824,42.0,35.32552700082397,106.82016717122116,142.6282,0
T14,243.3127,247.78421494623655,252.91065,0.0,0.0,90.93018247311828,6.0,17.94780469114156,42.0,19.353142226733443,50.93323786003391,409.1397000000002,0
T12,112.98545,132.76417333333336,171.47705000000002,100.0,18.40523,57.875805,3.0,28.395751283312265,74.0,61.07162751025453,357.11172401817333,216.4112500000001,1
T6,133.1121,153.66058701923077,185.5268,0.0,0.0,84.33318669871795,3.0,30.981048898717887,70.5,67.04666661881689,330.95962296426836,206.23669999999993,1
T8,124.12450000000001,146.0155516129032,184.3099,47.058800000000005,3.409233870967742,66.17961129032258,3.0,34.29668472594824,102.0,65.33965407081286,376.07216641977533,244.18734999999992,1
T10+T11,115.6863,146.84629745762714,235.1682,100.0,16.54370084745763,53.542692372881355,3.0,35.88483241260796,84.5,65.83510166288875,417.819498415649,473.7894000000001,2
T15,59.09055,114.71933032786886,255.77550000000002,100.0,28.270653278688528,45.47090081967213,1.5,63.390811255927,127.0,55.206392814234434,448.2573824649315,384.54084999999986,2
T1,62.9015,123.01539734006735,214.9386,100.0,21.85640747474747,59.922275993266,2.0,42.614127196800574,127.0,48.81486719315269,272.46363615804717,366.78785000000005,2
T4+T5,111.5549,151.22595392287235,265.16364999999996,100.0,25.301328235815603,41.61329532358157,3.0,38.27816818339933,83.5,61.570105151367116,412.95830401590104,393.7270000000001,2
T7,82.99000000000001,124.36370744680852,203.7804,100.0,25.08552340425532,48.168538297872345,2.0,31.984597620205385,71.5,62.855189495092674,441.168821862231,319.29494999999974,2
T9,157.6791,194.5608046153846,231.13605,100.0,9.61085923076923,77.3302923076923,4.0,22.045399196825894,60.0,29.493964598890212,202.85802735376035,693.4613999999999,3
