section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,229.4194,235.1381882875458,254.53419999999997,35.76472,2.0584657173382173,74.45746008241758,5.8,12.140410292089408,46.6,24.252637694407223,111.53397477207723,310.8369199999999,0
T10+T11,61.214639999999996,107.43963087505824,199.93742,100.0,25.828539003779838,54.466747081931,1.0,56.64960971138835,127.0,53.6090080478559,292.4419579063539,236.72983999999997,1
T15-T17,70.30746,127.24342234351563,240.5066,100.0,20.883527943479084,62.31587113903813,1.2,43.433236691563664,102.6,52.25863069866333,436.64692957068684,441.25412000000017,1
T3+T4,129.65438,149.94180603810858,175.494,56.94118000000001,5.297542994598445,45.67964214036909,3.0,38.68790831162864,63.00156,49.34750689376024,260.01710919519917,248.64572000000004,1
T5+T6,122.68253999999999,137.59104946089474,155.97008,61.88234,3.3438299428451104,54.77610282653798,2.6,48.50879262542211,79.4,42.94917316441497,272.8756534631154,337.92855999999995,1
T9,105.6855,129.85374119835762,177.09618,98.2745,19.35269631046662,60.07273951926801,2.0,36.814199434533066,92.2,57.03626326102708,389.2183702214119,198.98539999999994,1
T13,107.89046,149.40285021453397,239.47356,100.0,15.198989782707628,59.180464028705366,2.4,23.20591727460316,75.0,36.091945974985805,258.00606533276016,537.7813199999999,2
T1+T2,111.12382,163.32277969038734,265.34064,99.29411999999999,18.63030442266529,51.07746438298724,2.2,24.50108449916803,76.2,35.60460713503494,269.2502870339248,479.20817999999997,2
T12,141.89974,179.3549728222887,209.91988,0.0,0.0,99.6078,2.2,6.133028809181093,31.2,16.748197698109202,77.75007967933205,301.69912000000005,3
T7,139.59716,174.11878985025265,217.40900000000002,16.39216,0.3285381784518685,88.33392848744936,2.8,14.171396128816923,57.8,31.28995331652165,224.41685834258547,516.85004,3
T8,161.34582,173.22516734126984,209.01808,96.31372,21.83920757142857,47.45617993650793,3.6,15.858365586188878,50.6,40.47746448855082,152.48073004024369,134.17160000000004,4
