section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,226.66006666666667,232.45279280398321,249.0196,16.078433333333333,1.255555111111111,74.05527874213836,5.0,17.42392002407472,62.958333333333336,35.68436674311031,130.93738557786153,306.53146666666635,0
T10+T11,62.11183333333333,106.30625924664766,199.86013333333335,93.72550000000001,22.991881482508006,49.88865579664238,1.0,59.326281628950426,145.08333333333334,46.08062755404333,198.1015101789517,233.02493333333328,1
T3+T4,130.24593333333334,149.75588555555555,175.3083333333333,38.95426666666667,3.36027202020202,45.71677404040404,2.6666666666666665,47.62439002446636,88.02083333333333,59.607548059155896,264.15879671770193,245.61139999999997,1
T5+T6,122.56299999999999,137.97995677490965,154.9197333333333,34.6405,2.3851973238498627,57.957835498903364,2.3333333333333335,54.04553927771451,93.4375,73.54263020173218,403.80306926880377,334.5203333333333,1
T9,103.69013333333334,127.8488665699984,174.38776666666664,95.16340000000001,16.783345671116056,62.149954066687854,2.0,41.80272431908123,103.5,64.84986897360106,262.31632715328163,196.23323333333337,1
T8,160.6724,169.30653159722223,201.59966666666665,94.64053333333334,18.806916458333333,48.51715527777778,3.0,22.32312787772607,63.979166666666664,57.67019960884292,251.64573560365636,132.90279999999993,1
T1+T2,113.6365,162.6026206167016,265.08483333333334,95.42483333333332,15.620884673305381,49.69166535231773,2.3333333333333335,28.805390611317623,101.54166666666667,36.1842195517885,236.11229725657896,481.7952666666667,2
T13,107.58373333333333,150.2357065894522,236.91156666666666,100.0,13.015391097756412,60.46237078234265,2.0,31.420715625692896,95.375,63.40296095244813,458.2421917055387,535.4349333333333,2
T15-T17,73.6426,127.38064827801152,240.17193333333333,100.0,19.671706046439144,61.64424544958703,1.0,51.56832745326553,130.54166666666666,54.43481535148246,477.1555083001665,435.9441333333334,2
T12,146.7079,181.82658077943617,210.20573333333334,0.0,0.0,99.73853333333334,3.0,5.87565889944061,29.833333333333332,19.03308705844956,83.38413660699666,299.1803,3
T7,142.23953333333333,172.34954116416694,215.03266666666664,3.7908333333333335,0.10695151515151514,88.42779266911539,3.0,21.720151106714102,77.41666666666667,43.8089086561536,240.19840483392554,516.3148666666667,3
