section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12,147.6768,177.84510142857144,201.8997,0.0,0.0,83.88235142857144,3.0,19.239898391493593,63.7188,24.085138793668154,178.25188703962996,302.54100000000017,0
T14,164.004,184.28832857142856,212.047,83.5294,5.439775714285714,82.73949714285715,4.0,7.260581970132448,35.9062,16.90863209090687,97.69719066797431,313.0181999999995,0
T8,144.7395,153.05727567567567,177.7142,100.0,18.55855945945946,63.58240810810811,3.0,11.787885727092878,44.4062,33.43005755041177,118.92243348032538,136.57160000000022,0
T7,124.0635,159.2098819548872,201.8006,34.902,2.063982706766917,76.82146466165413,3.0,15.402994509075487,55.3438,22.646528656469158,142.6781298239225,518.768,0
T15-T17,63.3097,120.65024640522877,216.9757,100.0,23.514032679738563,70.331922875817,1.0,40.68649834576469,106.375,43.99132022581906,367.09412296722564,446.54479999999967,1
T9,90.8217,118.84961971830987,162.562,100.0,23.899474647887324,64.87710422535211,2.0,33.69544299118027,92.0625,46.700079861795565,268.6558412364873,202.18499999999995,1
T10+T11,59.3652,100.399040625,189.3263,100.0,30.008166666666668,39.64460625,1.0,46.590130525564426,106.3125,36.68379470393347,161.6395563100433,238.4315999999999,1
T13,103.4714,142.06071019108282,232.8985,100.0,19.485450955414013,47.09129426751593,2.0,21.408170616100158,65.0625,26.192807976316022,150.56950114183886,541.2961999999998,2
T1+T2,99.2218,153.14242,269.0166,100.0,23.659125384615383,39.45098076923077,2.0,32.68669181411069,82.125,33.13128950168228,211.4111110887197,479.68550000000005,2
T3+T4,115.7778,138.17095466666666,162.3331,85.098,8.193462666666667,48.475816,3.0,39.531781473509675,62.3438,38.559579731165634,182.34823996712953,251.2604,3
T5+T6,115.7015,129.79908504672898,147.0207,52.549,6.006964485981308,55.28312242990654,3.0,45.34423263152473,80.8125,30.629975282811927,149.6263245966781,337.71720000000005,3
