section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,231.3497,237.78753396226415,257.084,0.0,0.0,65.27559433962264,5.0,13.46079045058004,56.0,34.958752321352975,132.74607255069898,308.8253999999997,0
T3+T4,119.9741,148.90356865671643,178.9044,58.0392,8.446008955223881,45.68333582089552,2.0,44.02072518579117,68.0,91.01232813232703,495.3376684617642,246.64710000000002,1
T5+T6,118.3642,136.286562,161.3336,100.0,6.035295,57.027433,2.0,43.40137201196623,68.0,59.78691646634415,549.7238178411238,340.27049999999997,1
T8,160.3571,172.609575,211.6197,100.0,23.321084375,49.1053875,3.0,20.805907395058842,71.0,68.09616904810213,275.0606022213766,133.91250000000014,1
T9,107.2709,131.40860483870966,176.1578,100.0,16.8121435483871,59.5256,2.0,32.60295742658679,86.0,71.11288209513225,429.0323869893939,200.1618000000003,1
T1+T2,114.6487,163.9773338983051,266.537,100.0,17.823196610169493,53.459603389830505,2.0,28.148933710516268,84.0,74.83753538399331,702.7395730614194,481.38509999999997,2
T13,110.4372,150.92714620689657,241.4588,100.0,16.416498620689655,67.57537034482759,2.0,21.355185657866485,63.0,57.88604567771999,704.5562850490094,540.9353000000001,2
T12,144.1215,183.3710212121212,212.6345,0.0,0.0,99.6078,3.0,6.8925442235799,37.0,32.42431701862295,131.09752212133162,301.7983999999997,3
T7,142.6261,177.8127247863248,221.416,0.0,0.0,89.51563333333333,3.0,11.23489096095504,55.0,36.41830593297409,198.37283373667964,516.9413999999999,3
T10+T11,54.6426,106.78615714285715,204.6921,100.0,29.067009890109894,59.90948241758242,1.0,55.33957298893212,127.0,53.5099271972645,261.5260017050845,238.32749999999987,4
T15-T17,75.0744,130.98088540145986,242.1149,100.0,19.43323211678832,66.78686715328466,1.0,47.31052928677439,99.0,58.365902711376144,439.5952411881042,444.29259999999977,4
