section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,217.6127,228.00711508771928,250.57985000000002,0.0,0.0,62.234728631578946,5.0,17.367697223691394,51.4219,42.923913257904324,213.89378190000616,308.48089999999956,0
T8,154.92865,167.06618428571431,206.2295,100.0,29.285715714285715,51.022395714285715,3.0,23.022116195321903,61.8125,88.23743313923036,330.6355327527512,129.6733999999999,1
T9,103.9063,129.0993688965885,172.1637,100.0,20.85381740405117,59.32291231343284,1.5,30.694748072074052,77.34375,62.37311333449067,301.74540935805084,199.44629999999984,1
T1+T2,108.54505,158.33665675017897,259.83445,100.0,19.683832863278454,54.86136163206872,2.0,25.306890135048484,69.59375,38.217955394188486,262.3642212664902,479.1129,2
T13,109.40715,149.44261774761185,236.83525,100.0,17.892092855706384,59.623863720462545,2.0,19.323171345666392,55.6719,41.97868639152897,235.6917170978502,538.02935,2
T7,139.02115,172.3084341037037,215.52985,0.0,0.0,83.46002830370371,3.0,12.449198799265357,50.5625,34.25762454676001,274.63870654482463,513.3600500000001,3
T12,146.8795,182.34056471830985,211.61214999999999,0.0,0.0,99.8039,2.5,6.104260297932242,28.5469,14.764747532412137,47.75163561256588,301.6517000000001,3
T5+T6,122.2248,138.67132205882353,158.5069,50.0,2.9661666666666666,49.99685028966132,2.5,40.788256566629826,58.457,37.38929153640208,225.31253779528873,336.51640000000003,4
T3+T4,131.99815,150.8670710869565,175.13545,54.509800000000006,2.7962478260869568,30.822388115942026,2.5,33.418035575672306,53.4531,42.814700645879896,209.38415442233787,248.238,4
T10+T11,57.7287,108.31142633064516,200.8698,100.0,31.95282540322581,53.8311641532258,1.0,55.79428218291167,129.375,64.66742104612216,438.5150662058408,236.95589999999993,5
T15-T17,77.1916,126.86242162858423,233.2799,100.0,18.019011514336917,57.086182358870964,1.0,43.73671585750235,95.46875,68.21476698237754,463.83618600607764,436.7153999999996,5
