section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,220.40256666666664,228.15633055488993,246.41666666666666,58.36599999999999,3.530925222141048,76.70941871970582,5.333333333333333,14.820101823909694,47.33398333333333,32.20765348620031,113.90542422266059,313.02198333333325,0
T3+T4,125.76486666666666,146.7360156689244,174.68148333333332,73.72548333333333,7.315064755277255,50.059616378823875,2.3333333333333335,41.70482930226703,71.0,46.424782121793136,277.5884344581331,249.00876666666667,1
T5+T6,124.74886666666667,135.94726682397496,153.20315,58.49673333333334,3.493179770818282,53.354746007419585,2.1666666666666665,50.110630851549935,76.0,42.46170590303051,246.3548102031128,335.9584166666666,1
T8,156.4672833333333,170.51088508894088,214.21758333333332,99.86928333333333,31.187397017602496,48.62043438075609,3.3333333333333335,16.821058256246747,56.167966666666665,42.508604939591606,193.74513666605836,134.70554999999987,1
T9,104.50905,128.27172337809964,172.66091666666668,99.6732,20.982530785275987,63.28717134443017,1.8333333333333333,34.63974277722187,95.16666666666667,58.734466080192014,416.8021046539775,198.82633333333328,1
T1+T2,112.843,163.0636500194761,265.35946666666666,100.0,21.86125037399827,53.81490619811652,2.3333333333333335,23.46253357811804,78.33333333333333,32.94681827769809,208.88925977202697,481.93128333333334,2
T13,107.20481666666666,148.08287575736958,238.8978,100.0,15.508494484653028,58.353979143108944,2.0,27.39709256386283,91.0,36.914954754022645,273.5976553967204,537.4824166666665,2
T12,144.59958333333336,181.55304455051342,211.60321666666667,0.0,0.0,99.6078,2.3333333333333335,7.3441884468932805,38.0,21.845122529359458,90.5390367804901,303.89898333333343,3
T7,138.31285,172.01385522118315,216.73028333333332,16.078433333333333,0.5699797879265092,87.62318347748639,2.5,16.823747127341605,72.0,35.061473938558905,206.7775578870418,517.4909333333334,3
T10+T11,56.82333333333333,106.50217454149144,195.14126666666667,97.84313333333334,27.91290362402182,53.18577164240032,1.0,55.99956964211497,127.0,46.895725197695036,318.3352303628853,238.9893833333333,4
T15-T17,71.77208333333333,127.60897073073762,237.0489,100.0,22.14814107642182,63.12709893696775,1.0,49.07041835940898,117.66666666666667,52.410609693238825,397.18768222846774,441.1891833333331,4
