section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,224.24213333333333,231.9456940703731,250.86149166666667,20.130725,1.3450058770980482,70.68445780730862,5.666666666666667,14.355297445748478,49.594075000000004,31.197313820301588,164.85683900657924,307.97211666666675,0
T8,156.94921666666667,170.52786819942284,208.82352500000002,96.47058333333332,24.277387381027335,39.40534561479972,3.5,20.51358812314724,54.86263333333333,58.590502023578296,251.26495873104204,132.52676666666676,1
T9,102.69258333333333,129.48896100645905,172.23366666666666,95.9477,20.025851983491496,62.8711873425761,2.0,27.38706605079413,74.41145833333333,49.525118438157676,277.5542787661848,198.5092666666666,1
T1+T2,110.55988333333333,161.88596085667209,262.497775,98.85620833333333,18.96039743126978,53.382349464177565,2.0833333333333335,22.629601728173117,70.29948333333333,31.516503088206903,194.84330005937912,478.33135,2
T13,108.89536666666667,150.91115409694538,236.75706666666667,100.0,13.799810602468357,58.628316334358466,2.25,20.30543963784424,70.3151,35.504505660152624,246.00860763174884,539.2978250000001,2
T7,140.05365833333335,174.28197730931188,217.09455,3.6928083333333332,0.16571955222486812,88.25329141588266,2.9166666666666665,14.267821456468658,57.697916666666664,31.248181411672252,211.71539838466674,517.3437250000001,3
T12,145.628925,181.4352956610221,209.63226666666665,0.0,0.0,98.94788467741937,2.9166666666666665,6.625636729723831,30.850908333333333,19.298229834434515,84.8657053793276,299.7259916666666,3
T5+T6,121.8236,136.96674952101753,152.36005833333334,29.346408333333333,1.6066509509898692,49.44351831005895,2.6666666666666665,43.044274489851226,73.81575,45.239809671800636,263.52423926089796,335.9032583333333,4
T3+T4,131.6771,150.5735204013001,174.00435833333333,38.62745833333333,3.1665063217904197,40.06250669095039,2.9166666666666665,36.592286929225274,59.229166666666664,39.89785872158474,200.9843620755117,246.42813333333334,4
T10+T11,59.441516666666665,107.53079099904413,199.44241666666667,99.31372499999999,27.05391294170532,52.33123809774949,1.0,53.35477228034383,126.55208333333333,51.30282185047428,274.2140525938424,237.48662500000003,5
T15-T17,71.51078333333334,128.70913509725384,237.72474166666666,100.0,21.38506647976755,61.944973040817196,1.3333333333333333,42.775522423801,100.54166666666667,46.54868156230657,359.3738139713881,439.7908333333333,5
