section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,77.6036,113.93670994018296,188.60535,100.0,19.592044194229416,57.33684838142153,2.5,38.66518736167563,93.5,23.08988690311434,108.49315357884538,325.58555,0
T2,85.9579,117.77523909090908,135.83965,91.9608,24.43850454545455,51.82440704545454,2.5,44.2209227195707,72.5,33.42298590654481,99.22344320265906,132.64210000000003,0
T12,115.02635000000001,154.89579882768362,191.6266,2.15685,0.03988050847457627,87.42690903954802,3.0,21.136364727852396,65.0,19.04590656123899,91.60138944141227,512.9694499999998,1
T4+T5,156.96195,196.32197126600283,209.27745,97.64705000000001,17.307060099573256,78.8274047652916,4.0,25.276651151791615,39.5,24.27583915459591,105.76482997660906,405.7111,1
T7,112.47425000000001,133.29373317230272,155.28345000000002,86.47059999999999,7.049036795491143,77.12857777777778,3.5,14.812819265525484,61.0039,22.221821378824323,87.32926934339133,180.53160000000003,1
T6,135.4009,154.5498602146264,177.4243,53.3333,3.3796264308426074,76.29178187599365,3.5,28.796686504918473,59.0,21.984912583504812,93.49070282302212,301.02469999999994,1
T10+T11,71.4504,101.14378367446395,150.7782,100.0,12.131253411306044,61.160974610136456,2.0,57.688101719072804,99.5,34.63051515632094,261.2462471045068,307.67869999999994,2
T3,75.37955,104.80148134384385,147.23815000000002,2.35295,0.06535972222222222,81.81266692942943,2.0,43.94364995258698,100.0,21.824187007161463,124.00550770552722,209.57920000000001,3
T8,84.57315,107.58138936781609,138.4909,55.29415,5.390806264367816,70.61097114942528,3.0,39.398897638782756,88.0,29.696309394691724,96.99452314524467,173.3523499999999,3
T9,89.07835,114.94931904761904,162.25295,11.7647,0.7749761904761905,73.74507198412698,2.5,28.896524132041023,83.0,20.16557107470826,121.04062515714628,277.66435,3
