section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,82.84505,115.27033295454545,133.7034,69.80395,13.442265277777778,36.748860984848484,1.5,48.425844459975096,82.0,49.456893073694005,183.83825194277594,135.20854999999995,0
T1,79.9802,124.64082798543689,222.33925,99.41175,26.474586013349516,61.35527469053398,2.0,46.471153634525464,118.5,36.824805167904216,206.77273900978452,329.97475,1
T7,124.43735000000001,140.5410903846154,163.2143,70.0,4.581449038461538,73.10203653846153,2.5,25.32959091366567,79.0,46.725962714212784,206.74573576703233,188.6001,1
T3,79.2744,106.99305355932202,158.4306,0.0,0.0,88.43652488135594,1.5,46.901665789254054,109.0,34.936947583281245,246.60995010805095,214.90055,1
T9,89.5094,120.53431641414141,173.6057,64.90195,5.82937178030303,73.67298194444444,2.0,48.06481760992058,119.0,33.87147246771749,174.67034459013396,279.44740000000024,1
T8,80.28155,108.77128528357235,151.49535,64.11765,6.331517682529335,79.77289700130378,1.5,39.801786114571335,100.0,39.30541073956135,141.9379373506098,177.50265000000013,1
T10+T11,60.551649999999995,99.06836698850574,166.84595000000002,84.31375,19.360964201149425,58.24066459770115,1.0,73.71863415996413,118.0,59.30506673961288,541.7030788698737,313.68795,2
T12,115.2552,159.09165558687002,207.3091,0.0,0.0,87.51420656498674,2.0,18.766314867171307,57.5,31.07733774690025,161.77659085688518,517.0508500000001,3
T6,143.78955,163.1951419846351,187.10995000000003,65.09805,4.253169206145967,78.44314939820742,3.5,27.30141679472145,68.5,39.93621790380593,145.84943994278058,304.5524999999999,3
T4+T5,164.32825000000003,205.51630693577164,216.62855000000002,86.66665,11.901270327832293,80.81926920160569,3.5,34.10138013061537,60.0,48.63249145914144,215.5306387991991,412.1105499999999,3
