section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,85.05760000000001,117.30512999313657,139.2729,85.49015,18.87708881262869,43.272227419354834,2.0,39.54335286216893,78.0,45.65849438197185,184.7580632875525,136.7828,0
T12,123.74685,164.0615636807182,212.50095,0.0,0.0,88.01511907689306,2.5,29.261985092655177,92.5,33.86394309715089,208.81003910291955,517.98695,1
T6,132.61995,160.3355014308426,189.559,50.0,3.638049324324324,80.70459259406465,2.5,33.83988809012499,84.0,42.01087566073652,212.9445671320393,304.66385,1
T4+T5,149.0387,206.5210667344498,221.3741,97.05879999999999,16.58443508373206,75.36454887559808,3.0,32.63233016839148,53.0,43.38630994729726,154.93238604918804,411.6295,1
T7,120.0351,143.37943708683474,167.78820000000002,88.62745000000001,10.174218963585435,76.4083924369748,2.5,18.23925046101224,58.0,42.37039565300844,169.21901347357027,187.21609999999998,1
T10+T11,74.24655,103.31862756526104,164.66775,97.64705000000001,11.076954638554216,59.91121854919679,1.5,69.80997963071216,127.0,52.13956466515964,348.72785307372953,314.56674999999996,2
T1,86.5568,121.86117917680194,195.33454999999998,98.43135000000001,15.508694731788504,55.4487378312636,2.0,37.994424019504265,96.5,30.94903958442432,175.34962849225326,329.832,3
T9,88.45655,122.78188510877719,177.1916,70.0,3.878764647411853,75.35080155663917,1.5,34.13582121599938,101.0,33.8938778624147,165.42097023422667,278.82970000000023,3
T3,82.94425,111.79573067299395,159.58265,0.0,0.0,80.74013236626402,2.0,52.11959327864018,116.0,40.22984352468821,322.7989235725686,213.95530000000008,4
T8,86.47290000000001,110.32814801587301,149.0959,37.451,3.025209523809524,68.54961865079366,1.5,45.00594650704245,107.5,44.74715997219717,176.56862647246226,174.22265000000016,4
