section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,48.1575,70.21693166666667,112.0165,100.0,16.437906666666667,47.261428333333335,1.0,49.2540746884712,127.0,136.18122661527775,872.9437369449493,135.8945,0
T12,111.2688,159.5452753846154,212.8557,0.0,0.0,90.23828,1.0,21.18578537521476,62.0,24.994021760202457,174.48349403070765,513.9195,1
T6,148.4169,167.99787307692307,195.5901,0.0,0.0,85.9124923076923,3.0,36.56481764267892,80.0,31.08657158825891,251.72909720860446,300.77480000000014,1
T3,82.4445,109.98484464285714,160.2731,18.8235,0.37114821428571426,77.92714821428571,1.0,44.329491784362745,95.0,31.682828525617406,209.20617472758576,212.20859999999993,1
T7,106.1418,131.9415275,160.8148,100.0,10.14706,71.41174,2.0,19.13938401866015,63.0,79.41230675420567,297.86164549732274,184.8361,1
T9,85.0156,118.54916268656716,176.1883,38.0392,1.5627731343283584,73.32745223880598,1.0,27.008811891831865,74.0,35.16906205841287,226.31736114555696,280.64930000000004,1
T1,63.5615,109.5084445652174,178.9578,100.0,16.20204565217391,55.44756195652174,1.0,34.63195436922347,87.0,52.611818310110976,495.8156045717355,330.7873000000001,2
T10+T11,69.5888,104.187402247191,166.6056,93.7255,13.936991011235955,56.83188426966292,1.0,60.59596005370981,113.0,43.90078313846349,260.96106629252324,315.7650000000003,2
T8,78.6603,110.20545869565218,149.9657,94.1176,9.258310869565218,72.63425434782609,1.0,39.01032859456241,95.0,68.3201883480548,374.3533528600378,175.92510000000038,2
T4+T5,161.8524,206.40035263157895,220.2182,100.0,12.55589649122807,72.4526701754386,4.0,27.84498534788474,47.0,45.50805082641468,152.19555867714456,408.9126000000001,3
