section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,97.29915,121.72595813131313,143.4081,90.0,24.57536303030303,51.11426252525252,1.25,49.4314058128976,89.25,68.95975733649227,357.66325720362505,133.9126,0
T7,127.88012499999999,146.6430731308559,171.173775,94.0196,11.827966336794045,71.808555674265,1.75,29.33270207407156,85.25,73.78026925990642,416.95145420992054,186.91320000000007,0
T4+T5,159.891675,215.07026296672078,232.17175,96.7647,19.29558106737013,80.19450205357143,2.5,23.74405984394931,47.5,39.98209984682707,212.14301187504032,410.66595,1
T12,118.039975,167.58780736640574,214.93285,2.843125,0.055344354838709676,85.19854072014259,2.0,32.669678312166084,90.75,43.27941331868075,346.980143741746,517.0654749999999,1
T6,143.6656,170.86948110702266,201.380925,75.29412500000001,2.461643124770164,84.91907451263694,2.5,32.872065358350994,78.0,46.67654483107799,285.2779586040495,306.85375,1
T10+T11,72.99532500000001,106.19205124065009,166.9127,100.0,13.772652880454439,54.86372137706711,1.25,67.98060586811326,114.5,60.767413259364574,547.9838044401204,313.55442500000015,2
T1,84.08482500000001,127.25138649460852,220.189625,100.0,22.07342917604313,54.37513639416315,1.25,44.42701743660016,113.5,47.812183743031355,357.46296734840547,328.64827499999996,3
T3,78.88915,109.96947693216175,163.2067,18.137275000000002,1.523671770282187,78.16607725182665,1.25,54.93586088916072,117.5,44.87836277627368,492.1266566291044,212.07307500000005,3
T8,85.66985,113.52120803156987,157.291925,71.9608,5.089976855933921,71.62020157372217,1.25,44.98935324992832,104.0,51.7318119197698,303.03490933020043,174.35074999999995,3
T9,87.321675,122.9808461159485,179.839025,66.37254999999999,5.363187415805749,70.44037124291373,1.25,38.894698912753285,106.5,33.06531355118417,389.6353530737066,278.6873750000001,3
