section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,80.65155,111.33431531531531,130.8461,82.94120000000001,19.479143564993564,39.299211583011584,1.5,44.06956215410162,80.0,58.245985994347926,250.87026989324204,133.6302,0
T12,124.033,165.70467517117277,211.22685,0.0,0.0,90.59126883339185,2.5,32.72631559483294,91.0,41.82305188025591,234.15296307811366,518.72345,1
T6,149.0425,164.31318959694988,185.12625,35.4902,0.657225925925926,75.36650375816993,3.5,44.627469665422154,98.5,36.3872975252696,239.23591223683925,304.30115,1
T4+T5,164.43885,199.25573011910217,213.0312,84.31375,10.049671140632158,72.20031010077875,4.0,20.891430080414143,40.5,39.33190131966129,163.12819121290048,409.11329999999987,1
T10+T11,67.47540000000001,104.5418269136236,163.82085,94.11765,13.484315603054775,60.00158561709972,1.5,66.74947985451615,127.0,61.60558834597518,424.2624616833019,313.9368000000002,2
T1,78.4581,117.43695109078115,191.92415,91.7647,18.28616483696927,58.270833661740554,1.5,38.39843749631761,97.5,46.11485194673612,207.5880612359412,329.4252,3
T3,76.9589,107.34363953995157,155.9434,0.0,0.0,79.69384801452784,1.5,49.51563439836916,115.0,61.02830176349951,315.934299044156,211.61235000000005,3
T7,130.4608,147.5561675088132,168.82965000000002,90.58825,8.457870035252643,66.6302375440658,2.0,35.78524788504326,105.5,51.2860640820728,211.4591131356791,185.269,3
T8,82.6543,109.95881565217391,147.406,80.58825,5.747086884057971,68.17474942028986,1.5,51.92397151878826,125.5,53.078875407230264,280.9743129245458,175.21055,3
T9,87.88435000000001,119.17790266106442,170.14954999999998,74.7059,4.67704800420168,75.13303021708683,1.0,49.40777658423737,127.0,51.21907938304775,391.86428430345114,279.16930000000025,3
