section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,77.0352,114.03314411764707,132.6772,100.0,28.23529117647059,48.14301176470588,1.0,44.44400137909864,77.0,49.793833520021366,237.5559601471055,135.93310000000008,0
T12,111.7418,151.9464430379747,195.6588,0.0,0.0,94.80264556962025,2.0,20.62330632934674,63.0,55.7314627969132,467.417100566094,518.3284000000003,1
T6,142.1073,154.48958125,178.8739,0.0,0.0,81.18134875,3.0,28.92066173203591,54.0,26.663685317237015,172.3825109097074,307.6711,1
T4+T5,146.7536,190.93601333333334,206.2104,100.0,15.196075,79.90192499999999,3.0,26.38481959778947,42.0,24.449690879022636,91.52916792916947,413.7294999999999,1
T1,86.7857,117.17166134453781,196.1776,100.0,17.004448739495796,52.17333025210084,2.0,41.02363880130415,126.0,46.821463278970334,411.77798399946363,332.37430000000006,2
T10+T11,74.5098,102.19552674418605,151.1864,100.0,13.675329069767443,61.96533023255814,1.0,65.96190214639464,109.0,46.07107084913502,460.99862172860924,317.11940000000004,2
T3,75.1659,104.23450892857143,147.837,0.0,0.0,80.18905178571428,1.0,44.83129059345583,97.0,30.371781862519892,281.1209811889782,214.0584,3
T7,103.212,123.1032925925926,150.7897,100.0,11.851851851851851,72.86853148148147,2.0,19.91686398135746,75.0,41.94874982610669,140.7805872012543,189.17000000000007,3
T8,82.3301,105.7362,139.8642,66.2745,3.9583343749999997,72.316153125,2.0,42.16862213348613,102.0,45.964427744960815,151.45975285558316,173.98590000000013,3
T9,87.0527,111.671016,160.441,100.0,5.626145333333333,71.39344,1.0,29.23779311095366,92.0,27.826121595623462,93.0536958457709,281.1947,3
