section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,78.18055,115.54093149913062,130.9062,72.4509875,20.155979341958993,43.9262519510347,1.375,37.66275555576501,71.875,72.73672519272927,342.92289316916697,126.67634999999996,0
T3,67.5125875,102.98069208745265,148.9986375,15.980387499999999,0.3136954441518847,77.57991880526829,1.25,59.267090703793826,124.25,54.90307965374622,378.8572103552076,209.127325,1
T9,82.1297625,116.6585529653084,171.567675,40.7352875,4.197337923971622,69.29721903251847,1.625,36.07118354918127,99.5,33.37051876109093,199.1021835380366,277.8619999999999,1
T8,70.2287,97.93920607957236,138.4784875,54.166675,6.078068239562175,62.71922797155642,1.5,48.31246537995592,106.750975,49.61320363345996,353.5544432093871,171.9717875,1
T10+T11,64.226175,100.10499249546466,163.6787875,87.69607500000001,13.956127101112704,53.914231999766784,1.5,73.89846149108243,127.0,63.74802021717572,550.9614114480976,310.4900375,2
T1,81.4869875,119.36543297327857,200.1258875,94.8529375,15.926299053288684,52.0151199202431,2.125,47.031238797781455,114.0,40.15762189718447,302.414817401051,326.6092,2
T12,113.2181375,158.69849037216144,204.8752625,7.696075,0.3177424022698613,84.40771905745811,2.125,19.455876826560708,66.5,32.264365194594625,193.35003542869762,514.0702375000001,3
T4+T5,137.6735875,183.72405175559925,206.200875,81.225475,15.351639808253466,61.1459667045469,2.875,21.369186343758567,45.75,45.67658110213088,181.59308379213127,407.4154500000001,3
T7,105.4112375,128.26354147518154,155.5085,80.34315,8.286518932480472,68.1362514833111,2.0,23.569705304764177,74.875,53.253961914779325,301.0467479929054,185.64736249999999,3
T6,125.689525,149.26093194533348,178.14335,37.598037500000004,2.7008399458669197,68.52097214403548,2.625,28.53278757782529,74.375,54.250655971491824,248.95483398042398,302.75783750000005,3
