section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,95.45892,120.62865974987335,139.95422,84.62746,22.638007943895644,54.81684040273556,1.4,44.63167432743942,87.4,64.46840598273278,260.33023011922353,135.31563999999997,0
T12,122.05385999999999,167.37422011048616,209.63760000000002,0.0,0.0,88.37162559386874,2.4,26.13619505945088,91.60155999999999,36.07443871628639,213.52629806673787,513.8771800000001,1
T6,141.41145999999998,162.87697793324293,190.85222,61.96079999999999,3.0408898044312664,79.10565700940504,3.4,33.74429978712276,80.8,43.29559140361745,180.42187446977098,304.31904,1
T4+T5,155.86174,201.64330138724245,219.20041999999998,98.5098,14.817732756588555,77.35205137508756,3.4,30.226966420382315,61.4,45.57382587793692,213.93414683761367,412.27326000000005,1
T1,85.45512,125.93158450485444,221.07118,100.0,23.92281718531329,58.21553619399763,1.8,49.23726477779602,114.4,44.639700369733404,273.61951383833264,328.75084,2
T10+T11,76.80172,106.22993278096826,163.26236,90.5098,12.240628685304893,57.72241320042565,1.4,66.30949921489909,114.2,56.53879191589449,350.4815028361113,310.39351999999997,2
T3,79.39572000000001,108.67859455210392,161.68156,2.11764,0.03621130256876563,78.34427470825878,1.4,53.14051962892533,118.0,50.040986412366856,358.16296520899925,211.77831999999998,3
T7,124.67537999999999,142.86071345439169,164.92564,72.07842000000001,11.983544081139701,67.64411561234867,2.6,24.572797319832027,90.2,59.512828965212975,299.3147569399287,187.47213999999994,3
T8,85.65498,112.0088038503718,152.52156,30.11762,2.8412532279438594,73.31893169021885,1.8,43.3296775141061,104.0,67.4967991357589,319.39809547742243,173.69654000000008,3
T9,87.89806,121.14355161678199,174.9569,80.0,6.62400238696617,70.8202004705509,1.6,35.159713582124525,95.6,34.580163906409645,265.4095480934212,278.7564800000001,3
