section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T10+T11,72.6558,104.48772975206613,156.4279,100.0,15.511263636363637,62.99789090909091,2.0,58.59672591588044,131.625,46.56969201067017,250.52096695052325,312.91499999999996,0
T2,85.4429,119.15372608695652,140.2533,100.0,28.729752173913045,54.646210869565216,2.0,44.494594987595995,81.625,56.911840877130615,248.16364575381874,135.74720000000002,0
T3,79.7742,108.05859873417722,152.7047,5.4902,0.34251772151898735,85.3263835443038,2.0,53.1805973371346,127.5,31.096177826130706,158.77861167341817,212.05640000000005,1
T8,89.5323,110.45266875,144.2588,49.8039,1.23774375,80.5514734375,2.0,45.574767525483466,107.25,34.89866015677242,121.30774376666629,177.47029999999995,1
T9,92.5917,118.54846421052632,166.5675,65.8824,2.604747368421053,75.21982,2.0,28.46294933705722,82.9375,22.24022481099877,102.98392095061274,282.47490000000016,1
T1,85.0614,122.54499633027523,204.3717,100.0,29.64921743119266,59.172514678899084,2.0,46.69936752085657,134.75,33.86574873739514,143.47934632610463,334.835,2
T12,115.3658,160.65005813953488,201.1597,14.5098,0.1854387596899225,93.52485348837209,3.0,20.366776084114875,69.25,26.42376518904595,187.10883772223644,517.0958,3
T4+T5,158.5794,198.3071523809524,212.8023,100.0,15.61157976190476,80.10270833333333,4.0,28.967566116530065,44.0,35.2476281693709,136.806792459222,412.61709999999994,3
T7,129.8848,141.26942962962963,157.3129,100.0,16.10747962962963,71.98257407407408,3.0,20.797070949182782,73.8125,48.8017309283579,209.7149735397785,187.4602,3
T6,136.9421,158.22226666666668,184.802,36.4706,5.6008051282051285,87.63197948717948,4.0,33.66460370177839,82.0,44.956446070201494,189.5119696482011,305.96230000000014,3
