section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,95.46424999999999,125.34650106060606,145.70839999999998,90.58825,19.253122272727275,42.87164787878788,2.0,38.865712347534284,63.5,70.48859061143207,312.0412400505615,134.92079999999993,0
T3,82.79545,113.79826320754717,164.87754999999999,0.0,0.0,76.18199245283019,2.0,49.167557104968665,116.5,32.21486643545302,224.54167213634895,209.15960000000007,1
T7,143.8163,156.78642331932772,176.27985,100.0,10.953699495798318,71.3293606302521,2.0,27.767085117106955,94.0,36.99945259806665,153.9011337909439,185.27234999999996,1
T8,88.32305,115.863350749354,156.79025000000001,20.980400000000003,1.114759250645995,73.12578105943152,2.0,43.99241600653567,102.0,55.60995772535661,309.46888049491173,174.63379999999984,1
T9,89.9939,126.04560703125,181.15515,53.33330000000001,2.61029296875,70.16235703125,2.0,33.13811773838633,109.0,34.11503917837449,146.20865101806186,279.69589999999994,1
T1,84.77535,130.14401871246247,233.61185,100.0,23.895881231231233,58.309690315315315,2.0,39.99231923403561,103.5,39.42029516227943,317.66768592103824,327.34835,2
T10+T11,76.63845,110.25536659565088,168.71519999999998,100.0,11.631459910373199,55.31161454598883,2.0,59.75751383387701,119.0,48.12677431063696,300.4098406760095,312.46699999999987,2
T12,124.23515,174.9803235648148,219.81005,0.0,0.0,95.28382300925927,3.0,25.080591397245783,72.5,32.895897533666975,170.40889718782603,516.3448000000003,3
T6,152.78474999999997,173.10231668552035,201.1139,4.31375,0.08295673076923077,80.66702390648567,3.0,38.02399563942046,93.0,42.36545869814701,223.05969579765593,307.5302499999999,3
T4+T5,169.23014999999998,215.40679811447814,232.1927,100.0,14.5306,83.92892865319865,3.0,22.436179125525058,37.5,28.500432531853967,110.30720278013581,407.53485,3
