section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,93.1334,127.83876304347825,150.1793,100.0,28.15003695652174,53.18839347826087,2.0,50.43604328229724,85.0,78.40787549595731,337.8920808145654,135.6399,0
T12,126.688,174.20795859375,220.2029,0.0,0.0,90.77508984375,3.0,29.953326442205782,108.0,48.37876596526978,709.0322052223305,520.0823,1
T6,158.3658,174.230925,202.3423,31.3725,0.8513934210526316,84.40657763157894,4.0,38.45189060852151,81.0,31.991630110635686,157.14347961406526,307.6132,1
T4+T5,174.0749,220.6075925,237.6745,100.0,16.5441175,85.93624125,4.0,30.435004356238206,47.0,36.04539710525429,220.1358017755944,411.08089999999993,1
T7,143.3661,158.22663529411764,178.9807,100.0,11.434064705882353,85.16721764705882,3.0,20.737559002469464,80.0,28.684376814058574,149.9479285010882,187.39689999999973,1
T10+T11,75.1202,111.21188032786884,170.0084,100.0,12.62295,59.604606557377046,2.0,53.806543276023554,111.0,62.94006465532341,502.61834604723805,312.8479000000002,2
T1,87.2358,127.2981919642857,227.9164,100.0,24.954483928571427,66.50207857142857,2.0,58.79062011815088,127.0,41.90908752413378,387.4470338983061,331.25450000000006,2
T3,80.9873,114.89642875,167.0176,17.6471,1.1372550000000001,85.81369875,2.0,58.28197537652774,127.0,39.782319827738206,307.9625791463617,213.28940000000011,3
T8,88.7236,115.02356461538461,160.3189,36.8627,1.2368015384615385,79.04673230769231,2.0,47.79640817692669,121.0,61.37433432263009,425.1907330513369,176.10380000000032,3
T9,88.5939,125.71113437499999,183.7491,66.2745,5.943627083333333,81.78510520833333,2.0,42.118525875875434,120.0,80.5791506639301,877.3203142962785,281.26179999999977,3
