section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,78.8586,95.06660172413794,120.0504,100.0,22.413793103448278,58.50573275862069,2.0,112.5704780245959,127.0,248.53653957352273,1552.573627147233,137.47410000000002,0
T12,108.4154,150.9603,198.1231,100.0,11.225864122137404,83.90057938931297,2.0,38.58005392685686,95.0,176.92356876118185,1144.1444137508267,516.1938,1
T6,107.1336,147.24737125,185.1377,100.0,18.00980375,82.5783975,3.0,35.83862041903143,90.0,211.5887154674399,1174.4339570650263,304.91409999999996,1
T7,112.2301,133.6119574074074,159.3423,100.0,14.814814814814815,71.00215555555555,3.0,34.86357664583484,93.0,227.7052374701389,895.4864017923741,188.45040000000017,1
T3,66.247,106.51559999999999,159.2279,100.0,9.63855421686747,72.55371445783133,2.0,51.866883633009785,127.0,338.7273827483381,2202.8382616457,214.26430000000005,2
T10+T11,76.4935,102.35928347107438,161.4786,100.0,9.917355371900827,53.13886280991735,2.0,68.97337779021645,127.0,194.52540770422672,1567.3816713641456,317.94420000000036,2
T9,77.9126,110.88043861386139,167.483,100.0,12.595612871287129,69.37291386138614,2.0,58.99442097552887,127.0,202.14439889890625,1169.6619681546076,283.23099999999977,2
T1,69.2302,123.79653647058822,199.733,100.0,27.990772941176473,66.23296117647058,2.0,53.0945892720944,123.0,173.20373242854288,791.3213757572922,329.81179999999995,3
T8,65.9953,105.55785937499999,152.9183,100.0,18.0208328125,74.46075625,2.0,45.45614321463354,111.0,198.44019635311727,1107.4169710248004,175.46939999999995,3
T4+T5,140.7797,182.89191379310344,205.3101,100.0,20.18931724137931,47.50956551724138,4.0,40.60344973849482,98.0,210.12335504433756,1102.6912828117129,412.1477,4
